signum,transliteration,english
Öl ATA4684/43A $,...a ' eftir ' eystei- boda ' sin ' kor-... ...,"... in memory of Eysteinn, her husbandman. Korpr ..."
Öl ATA4684/43B $,gyþa ' lit ' re... ...,Gyða had (this stone) raised ...
Öl ATA4684/43C $,... ...tiR ' sa-... ...a... ... guþa guþ hi... ant -...,... in memory of ... ... ... May God help (his/her) spirit ...
Öl ATA4684/43D,...r...,...
Öl ATA4684/43E $,...- saR × ris(t)... ...,... he(?) raised/carved ...
Öl ATA4686/43 $,× blakari × auk · k... + faþur · sin kuþan,Blákári and ... their good father.
Öl ATA4700/43,... bryþr · r-... ...,... brothers ... ...
Öl ATA4701/43,...ur × -uk ak-u... ... nuk abtiR × auþ... ...,... ... ... ... and in memory of Auðbjôrn(?) ...
Öl ATA4703/43 $ §P,... --k kuþ---r · li-u · resa st-- þ--- r... §Q þurlak ¶ ...(u)k ¶ kuþmuþr litu risa st... ... (þ)(u)rbia...,... and Guð-... had this stone raised ... §Q Þorlakr and Guðmóðr had the stone raised in memory of Þorbjôrn.
Öl ATA4705/43,...a · þi...,... ...
Öl ATA4375/56 $,... ...ftiR ÷ systu ÷ kunu ÷ si... ...,"... in memory of Systa, his wife ..."
Öl ATA4376/56A $,... ...ynt · sun s...,"... Eyndr, his/her son."
Öl ATA4376/56B $,... ...-r + (k)(o)-l ' faþur + sin,"... in memory of <ko-l>, his/her father."
Öl ATA4377/56A,...---m-a u---kirkra ...- na-i...,... ... ... ...
Öl ATA4377/56B,...,...
Öl ATA4378/56 $,...na : auk : ...,... and ...
Öl ATA4063/60,... ...alt × faþur × sin × han + s...,"... ...-aldr, his/her father. He ..."
Öl ATA4064/60A $,þo-... ... ...(t)u × ulf × hakua × seina,Þor-... ... had Ulfr cut the stones.
Öl ATA4064/60B,... ...-rbiu... ...,... Þorbjôrn ...
Öl ATA4064/60C,... ...uml × ...,... monument(s) ...
Öl ATA4976/70 $,°,°
Öl ATA3960/71,... uk · þur-... ...,... and Þor-... ...
Öl ATA2056/75A,=Öl_Köping9,=Öl_Köping9
Öl ATA2056/75B,=Öl_Köping74,=Öl_Köping74
Öl ATA2056/75C,=Öl_Köping74,=Öl_Köping74
Öl ATA6371/83 §A,... §B ...,... §B ...
Öl ATA423-2541-1996 §A,... §B ...,... §B ...
Öl ATA411-4568-1998A,...---...,...
Öl ATA411-4568-1998B $,... ...it ÷ reisa ÷ stein ÷ þ... ...,... had the stone raised ...
Öl ATA411-4568-1998C,... × eftiR + kuna + faþ-... ...-al...,"... in memory of Gunni, (his/her/their) father ..."
Öl ATA411-4568-1998D,... ...uk ' eimundr ' þ...,... and Eimundr ...
Öl ATA322-4215-2004,× suein ...,Sveinn ...
Öl ATA326-1087-2007 §A,-iiumi-- §B um-l--/um-t--,... §B ...
Öl BN57 $,... ...rgils · faþur · s-... ...,"... Þorgísl, his/her father ..."
Öl BN83 $,--run,...
Öl BN84 §A,a---f--aþlufalu---þr §B ---,... §B ...
Öl Fv1911;274A,$M ...tin kuna hia...b... ...,$M ... ... ... ...
Öl Fv1911;274B $,... ...ina ' eftiR ' sueinu ' boanta ' sin ' tr...,"... the stones in memory of Sveina, her husband. ..."
Öl Fv1911;274C,°,°
Öl Fv1917(2);27 $,°,°
Öl Fv1918(2);15 $ §P,× ilu × hain × okrl × þisa §Q × ilu × hain × a(k)ru(k) × þisa §R × -(t)| |(t)u × hain × a (k)rum × þisa §S × -(t)| |(t)u × hain × a- ruk × þisa,"From evil(?) (protect) this bachelor(?) (who owns this). §Q ... ... ... ... §R Eat you, whetstone, to your misfortune. §S Devour this ridge of the whetstone (on which the runes stand)."
Öl Fv1972;266 M,iohanes : --...-ena,Jóhannes ...
Öl Fv1972;268 M,io^n -afr ÷ smið,Jón/Jónn has crafted.
Öl Fv1973;202 M §A,fuþ(o)rk(h)nias §B (i)þboet(æ)-...,<fuþorkhnias> §B ...
Öl Fv1973;203 $,-o rif(i),... rib(?)/rib-bone(?)
Öl Fv1974;214,M? ur,M? ...
Öl Fv1976;96A $ §A,iii?ihii???asnuh?iinnsiiikous??????o? ¶ ?i?na??iii uk ·· i · kristr auk santa maria biargi §B þiR oluf ¶ biarguma^baukaRaukiRumarkaR ¶ franþiRinarkiotunulufaukþrymiantiþursaltit,... ... ... ... May Christ and saint Mary save §B you Ólôf. ... ...
Öl Fv1976;96B $ §A,þursikfahinþrihufþahinmiramultikafran ¶ manskunuhanatsaiþi §B oiþki ¶ sinhausuirtihaniloaumliþin,... ... §B ... ...
Öl KALM1982;57,ioar : au- : sbia- : auk : elifr : auk : bofi : þaiR : letu : ...-sa : stain R--...- faþ-r sin saifok,"Jóarr and Sjall and Eilífr/Eileifr and Bófi, they had the stone raised in memory of their father, Sæfúss."
Öl KLM22910,...i(m)it...,...
Öl Köping1,... riti : st-... ...-... ...(b) (×) (s)...,... erected the stone ... ... ...
Öl Köping2,... ...þ hialbi × henaR × salu × auk ...,... May God help her soul and ...
Öl Köping3,... bui × lit × r... ... sin ku...,... Búi/...-búi had (the stone) raised/erected ... his good ...
Öl Köping5,× k-...,...
Öl Köping7,þirui ' (r)i-... ... -aistu · at bruþur · sin,Þyrvé raised ... raised (it) in memory of their brother.
Öl Köping8,... : la...,... ...
Öl Köping9,...k---... ¶ ...f...,... ...
Öl Köping10,... ...- · st... ...,... in memory of(?) ... ...
Öl Köping11,°,°
Öl Köping12,... · ra... ...,... ... ...
Öl Köping13,...-t(a)...,...
Öl Köping14,...(r) × mest × a × -...,... the most in(?) ...
Öl Köping15,°,°
Öl Köping16,... × þorki... ...,... Þor-... ...
Öl Köping17,... biur... ...,... Bjôrn/...-bjôrn ...
Öl Köping18,...rmu-... ... ...n × iuk,... ... ... cut.
Öl Köping19,°,°
Öl Köping20,...(u)(r)(k)... ... ...-k × muþur × sina ... ...-albi × sial,... ... ... his/her mother. May (God) help (her) soul.
Öl Köping21,...uar lit ... þorkai... ...,<...uar> had ... Þorgeirr ...
Öl Köping22,...a at sui... ...,... in memory of Sveinn(?) ...
Öl Köping23,... ...- × suein × þaiR × retu ...,"... and(?) Sveinn, they erected ..."
Öl Köping24,°,°
Öl Köping25,°,°
Öl Köping26,× asi × ...,Ási ...
Öl Köping27,... × roþkerþa × a... ...,... Hróðgerða and(?) ...
Öl Köping28,...-urn × ...,Bjôrn/...-bjôrn ...
Öl Köping29,... × faþur × si... ...,... his/her father ...
Öl Köping30,... ...uk × santa × mari × auk × san(t)... ...,... and Saint Mary and Saint ...
Öl Köping31,°,°
Öl Köping32,...an ' ...,... ...
Öl Köping33,... : rita ...,... erected ...
Öl Köping34 §A,-ota × auk + m... ... §B ko(þ)... ...,Dóta(?) and ... ... §B Good(?) ...
Öl Köping35,...s-...--n--...,...
Öl Köping36,... auk ...,... and ...
Öl Köping37,...ir × eftiR ...,... in memory of ...
Öl Köping38,...-in × auk × þiula... ... at × faþu... ...,... and Þjóð-... ... in memory of (their) father ...
Öl Köping39,... ...r si × koþan × kuþ × ...,... his/her good father/brother. God ...
Öl Köping40,...þulfR × kiarþi × kumb- ...,...-ulfr made the monument(s) ...
Öl Köping41,i(a)... ... -uain · sun s... ...,"... ... Sveinn, his/her son ..."
Öl Köping42,°,°
Öl Köping43,°,°
Öl Köping44,... ...in × koþan × kuþ ...,... his/her good ... God ...
Öl Köping45,... ...-rimar : litu : r... ... sin ×,... Grímarr(?) had (the stone) raised/erected ... their ...
Öl Köping46,... ...u sina k...,... his wife(?) / his/her/their sons(?) ...
Öl Köping47,... hialbi an- × ha(l)-... ... ha-...,... May (God) help <hal-...>'s spirit. ... ...
Öl Köping48,... ...R × suain × bont... ...,"... in memory of Sveinn, (her) husbandman ..."
Öl Köping49,... ...(t)ain × eftiR × biarn × sun × sin × kuþ ...,"... the stone in memory of Bjôrn, his/her son. God ..."
Öl Köping50,... ulfr -... ...i : stain : ...,... Ulfr ... raised/erected the stone ...
Öl Köping51,... ...ftiR × ku(n)... ...,... in memory of Gunn-.../wife ...
Öl Köping52,þoriR × a... ... ...a ¤ faþur × sin × h...,Þórir and ... ... his father. ...
Öl Köping54,... ...it × raisa × stai- ... ...oanta × sin × ku(þ) ...,... had the stone raised ... her husbandman. God ...
Öl Köping55,... ...ftiR × haralt × faþur × ...,"... in memory of Haraldr, (his) father."
Öl Köping56,... ...kstain : faþur : sin : k-... ...,"... Sigsteinn(?), his good father. / his father. God ..."
Öl Köping57,... ...a × stain × eftiR × sigstain × faþur × sin × auk × h...-k(a) ...,"... (had) the stone ... in memory of Sigsteinn, his father, and Helga(?)/Helgi(?) ..."
Öl Köping58,... ...(t)ain · þinsa · abtiR · b-...,... this stone in memory of ...
Öl Köping59,... ...aisa × ... ...-- ' (h)...-...,... raised ... ... ...
Öl Köping60,... ...n f-(þ)-... ...,... ... father ...
Öl Köping61,... at ...,... in memory of(?) ...
Öl Köping62,...-rtr ' kiar... ...,... made ...
Öl Köping64 †,[... ...karþi × mo(þ)(u)... ...],"... ...-gerðr, mother ..."
Öl Köping65 †,[... ...org · ...],... ...-bjôrg ...
Öl Köping66 †,[... rit- ...],... erected ...
Öl Köping68,fruþi × ...--------- × karl × auk ...-...-...-- faþur · sin kuþan,Fróði ... Karl and ... their good father.
Öl Köping69,... ...-uk : þaiR bruþr · litu · reisa · stain eftiR · skuka ...,... and his(?) brothers had the stone raised in memory of Skógi ...
Öl Köping70,... ...(a)isa × stain × ef--... ...,... (had) the stone raised in memory of ...
Öl Köping71,... ...rn × lit × raisa × -...,... Bjôrn(?)/...-bjôrn(?) had (the stone) raised ...
Öl Köping72,°,°
Öl Köping73,°,°
Öl Köping74,[...-R lit ' r...] ... ...- ÷ sina ÷ k...,... had (the stone) raised/erected ... ... their/his ...
Öl NOR1987;10,$M §A e^riku- --- §B gus hus gatt,$M §A Ericus ... §B Protect(?) God's house.
Öl NOR1997;31,$M a(b)cdefghiklmno(p)k(r)(s)----...,$M <abcdefghiklmnopqrs...>
Öl NOR2002;37,... (:) þ-na : eft... ... ¶ ... -uþ : au- -...,... (had) this (stone raised) in memory of ... ... God(?) and(?) ...
Öl NOR2003;26,U/V ' HAin ',U/V Whetstone.
Öl RäpplingeRaä278,=Öl_NOR2003;26,=Öl_NOR2003;26
Öl SAS1989;43 §A,× hir| |risti| |ik þiR birk ¶ bufi miR fultihu ¶ þis þe|R| |e|R uis in bra| |al¶ti| |ilu fran bufa þor keti h¶ans miR þem hamri sam huR §B hafi kam fly fran iluit ¶ feR eki af bufa kuþ iRu ¶ untiR hanum auk yfiR han¶um,"Here I carve(d) protection for you, Bófi, with/... ... ... to you is certain. And may the lightning hold all evil away from Bófi. May Þórr protect him with that hammer which came from out §B of the sea(?). Flee from evilness! You/it get/gets nothing from Bófi. The gods are under him and over him."
Öl SHM1304:1836:64,ns----a,...
Öl SK128;288,=Öl_SvK128;288,=Öl_SvK128;288
Öl SvK128;288 $ §A,...ni... §B ...s · ka--...,... §B ... ...
Öl UVÖst2006:42;204 M §A,...s ÷ elieeliu...þ ÷ uentus ¶ ... nunc ÷ kristus ÷ §B ...næs × -----,... ... uentus ... nunc Christus §B ... ...
Ög 1 $,°,°
Ög 2,-i(o)(l)ui : aok : þ--:... ...eiR : ...(r)uþr : le(t)u ... ... ... : uif(a)s(t) ... sin :,Kjôtvi(?) and Þor-... these brothers had ... ... ... Véfastr ... their
Ög 3 †,[... ...--þiR × stin × þisin × iftR × fasta sun isn × k...- : hibuR ...],"... ... this stone in memory of Fasti, his son. May God(?) help(?) ..."
Ög 4 †,[...-nar : a-- ... ... ...þur : sina],Gunnarr and ... ... their mother.
Ög 5 $,... þesi : eftiR : asu : : kun(u) : s(i)na :,"... this (stone) in memory of Ása, his wife."
Ög 6 $,... : þesa : ... ... : bru... ...,... this ... ... brother ...
Ög 7,°,°
Ög 8 $ §A,stikuR (') karþi kubl þ(a)^(u) aft auint sunu sin ' sa fial austr §B miR aiuisli ' uikikR faþi auk| |krimulfR,"Stigr/Styggr made these monuments in memory of Eyvindr, his son. He fell in the east §B with Eivísl. Víkingr coloured and Grímulfr."
Ög 9,... ...- (:) rista : s(i)tn : þisa : e(f)(t)ir : asu : muþur : sin...,"... ... (had) this stone carved in memory of Ása, his mother."
Ög 10 $,...--- : auk kair--- litu : kiara : brou : þasi ... ...-- litu risa stin : þisa : aifR s:kar/s:karf| |f-ita : sin kuþan,"... and Geir- had this bridge made ... ... had this stone raised in memory of Sker/Skarfr, their good kinsman."
Ög 11,· aystin · risþi · stin · þena · eftiR · þuri · faþur · sin ·,"Eysteinn raised this stone in memory of Þórir, his father."
Ög 12,°,°
Ög 13,× sikstin × risti × sti[n × þinsa × iftiR × i]-ui × faþur × sin ×,"Sigsteinn raised this stone in memory of <i-ui>, his father."
Ög 14,+ ruaR + rasti + stan + þasi + aftiR + iarna + sun × sin +,"Hróarr raised this stone in memory of Jarni, his son."
Ög 15 †,[...r risþi ... ... ... ...ut buta sin n...],... raised ... ... ... ... her/his capable(?) husbandman.
Ög 16 †,[sufur : ris... ... ... ... ... ...uþur : sin :],Syvurr raised ... ... ... ... his brother.
Ög 17 †,[:+: ufraþr : kuþulfR auk : i... ... ... eftiR : sig:biarn : faþur : sin : kuþ],"Ofráðr, Guðulfr and ... ... ... in memory of Sigbjôrn, their good father."
Ög 18 $,utar ...isþi stin þi-- --tiR iafra uk uik × bruþr · sina ·,"Óttarr(?) raised this stone in memory of Jafri and Vígr, his brothers."
Ög 19,... · [a](u)[k]...,... ...
Ög 20 $,× hulmkiR : auk · branti : þaiR · raisþu : stin · þ(i)na · iftiR · kiulik × faþur : sin ·,"Holmgeirr and Brandi, they raised this stone in memory of Kjallakr/Kjullakr, their father."
Ög 21 $,sin : riti : itin : þina : iftR : brun : sun : sin nu,"Sveinn/Steinn/Seinn erected this stone in memory of Brún, his capable(?) son."
Ög 22,× asbiurn × auk × þiR ali × auk × urykia × raistu × stain × eftiR × þurkut + faþur · sin ×,"Ásbjôrn and Áli/Alli and Órœkja, they raised the stone in memory of Þorgautr, their father."
Ög 23 †,[þurlakR : lit : raisa : stain : þina : eftiR : rouþa : faþur : sin : auk : eftiR : kuna :],"Þorlakr hadthis stone raised in memory of Rauði, his father, and in memory of Gunni."
Ög 24,... ...faiR raif,... in memory of Reifr.
Ög 25 †,[stuþikR × raisti × stain × þonsa × iftiR × iarli × buruþur × sin ×],"Styðingr/Stœðingr raised this stone in memory of Jarli, his brother."
Ög 26 $,× anuntr × raisti × stain × þa-... ...ftiR × utr × sun × sin ×,"Ônundr raised this stone in memory of Otr/Oddr, his son."
Ög 27 †,[þuriR · sati · stain · at · þialfar · faþur · sin · iaR · stranti · a · kautaun ·],"Þórir placed the stone in memory of Þjalfarr, his father, who landed in <kautaun>."
Ög 28 †,[... sun · iaR buki · a · kautaun ... truista · sina],"... son, who lived in <kautaun> ... his/her husbandman(?)."
Ög 29,· asa · lit kiarua · kuml · eftiR · þorkesl · bonta · sin · auk · þorkun · eftiR × faþu · sin,"Ása had the monument made in memory of Þorgísl, her husbandman, and Þorgunnr in memory of her father."
Ög 30,: siksten : let : rasti : stain : þe(n)... : eftiR : ikuar : sun : sin : han : uarþ : austr : tauþr :,"Sigsteinn had this stone raised in memory of Ingvarr, his son. He died in the east."
Ög 31 $,frustin : riti : stin : þina : iftR : sikmut : uk : ukitRi : an ua : burþ,"Freysteinn erected this stone in memory of Sigmundr, and less pleased (i.e. saddened) he bore the sorrow/he conveyed his brother."
