"source_text","target_translation","source_name","source_file","language","language_id"
"[+ beþa^r : marþa] : [liþ] : gera : þinna : sþa^n : yifir : sina : kuno : o^k : sin : ba^rn :","Peter lät göra denna sten över sin hustru och sina barn","G 2 - Gotland: Sundre kyrka","christerhamp_gamla_runor.csv","sv","2"
"[... ...garþum : lit : geara : mi]k : yfir : sina : (h)(u)(s)proiiu : ha^ldiia^uþu : hua^r : sum : biiþur : fyrri : henna... ...","... -gårda lät göra mig över sin hustfu Halldjaud. Den som ber för henne ...","G 3 - Gotland: Sundre kyrka","christerhamp_gamla_runor.csv","sv","2"
"olafr : (s)uþr * giarþi us","Olaf Suder gjorde oss","G 8 - Gotland: Sigraifs, Vamlingbo","christerhamp_gamla_runor.csv","unknown","3"
"- raþ| |þu ...-kui...us...","tyd du ...","G 10 - Gotland: Vamlingbo","christerhamp_gamla_runor.csv","unknown","3"
"iakoub[ar : ... kiara : s]tain : biþin : [bynir : iþrar : fyrir : sealu ...þuiar : k... : ...f]i : kaira : [s-a(s)l- : ...n... ...fb...tekum :] binidikta : in [m(u)... ...sk risti mik]","Jakob lät göra stenen. Be era böner för Rudvis själ ... ristade mig","G 13 - Gotland: Hamra kyrka","christerhamp_gamla_runor.csv","sv","2"
"[+ sial : synkr : litu : a--o : ki... aktr : r--] faþur : [... + guþ : han : barma : sik ...þk...anl...rþas : s :· siman : ier...]","Sju söner lät göra [stenen] efter ... sin fader ... Gud han förbarme sig ...","G 14 - Gotland: Hamra kyrka","christerhamp_gamla_runor.csv","sv","2"
"m^naus : s^kris","Magnus ...","G 20 - Gotland: Hamra kyrka","christerhamp_gamla_runor.csv","unknown","3"
"÷ iakaubs : synir : a burh : litu : g(i)(a)(r)a : stain : yvir : faþur : sen : ok : [b]roþur : sen : hera : [ni]kulas : sum : (o)ra : (k)irkiu : ati : men : guþ : uildi : biþ[i]n : fyri : þ(a)ira : sialum : ok : hehualdi : ... : syni : þair : huilas : hier : undir * o=le : (l)uþa=r : gia=rþi : mik","Jakobs söner i Burg lär göra stenen över sin fader och broder, herr Niklas, som ägde vår kyrka medan Gud ville. Be för deras själar och för Hegvald ... son. De vilar härunder. Ole gjorde mig.","G 21 - Gotland: Öja kyrka","christerhamp_gamla_runor.csv","sv","2"
"... sta-- y---r sen : s...","... sten över sin son ...","G 24 - Gotland: Öja kyrka","christerhamp_gamla_runor.csv","sv","2"
"...al--...ri... ok b--a=r kiarţu mik","... och Peter gjorde mig","G 27 - Gotland: Öja kyrka","christerhamp_gamla_runor.csv","sv","2"
"(h)(e)(h)laikr : kiarþ:i stan (þ)ani [: ...(r)(i)(n) :] ok : auþulfr :: þaiR litu : g[i(a)^(r)... ...]","Heglaik gjorde denna sten. Katrin (?) och Audulf lär göra ...","G 28 - Gotland: Fide kyrka","christerhamp_gamla_runor.csv","sv","2"
"A: ihesus : na(s)arenus ¶ iacobus ¶ lu (l)aurencius ¶ m(u)ttonmu- B: olauir C: 	þauþi : i braiþu^ki(u)(m)","Jesus av Nasaret, Jakob, Laurentius Olaf -","G 31 - Gotland: Fide kyrka","christerhamp_gamla_runor.csv","unknown","3"
"...o : sunutahr ... ...--...","... söndag ...","G 32 - Gotland: Anderse, Fide","christerhamp_gamla_runor.csv","unknown","3"
"+ ruþui : af ronum : hehuiþa burna : i hangnasteþu- : (h)(a)(n) lit gera stain : yuir sen : husbonda botulf (o)k o^laf sen su^n biþin firi þaira sialum","Rudvi från Rone, dotter till Hägvid i Hagnestäde, hon lät göra stenen över sin man Botulv och sin
son Olav. Be för deras själar!","G 33 - Gotland: Näs kyrka","christerhamp_gamla_runor.csv","sv","2"
"+ -ik-(i)(þ)(r) : kr-k(u)-(r)fi h-- lit gera hua-... ...þiauþu : sina : husfruy... ... synir : ... : (k)---uiþi... +","... lät göra gravvalv ... -tjaud, sin hustru ... söner ...","G 34 - Gotland: Näs kyrka","christerhamp_gamla_runor.csv","sv","2"
"×· katrin : ioans : husfyra : i sundru : han : lit : giara : þina : stain : yfir : moþur sina : botiauþu : iak[o]bs : kunu : sihlaihs:arf(a) : biþin : f(i)(r)(i) (h)enar : sial : bater : noster :×","Katrin, Johans husfru i Sundre, hon lät göra denna sten över sin moder Bottjaud, hustru till Jakob Siglaiks arvinge. Be för hennes själ Pater noster.","G 35 - Gotland: Grötlingbo kyrka","christerhamp_gamla_runor.csv","sv","2"
"[+ b(o)tair mais(t)eri : kiarþi : stain : epter : bo]taaþi : ho=usfreu sina : iakus : burnu l : uetabrhum : uar hera : naþi : þaira sial : (a)ltra : [me(n)is--air(a)] oli : hiak r:unir þisar : þesun : buais","Magister Botgeir gjorde stenen efter Botheid, sin husfru, barn till Jakob i Vetaborg. Vår herres nåd över deras själar, alla människor. Ole högg dessa runor ...","G 36 - Gotland: Grötlingbo kyrka","christerhamp_gamla_runor.csv","sv","2"
"botuat(r) * ----(k) : heruþr : litu : stain : þena : (e)(f)... ...uþ : (m)... ...","Botvat ... Herröd lät denna sten efter ... moder ...","G 37 - Gotland: Grötlingbo kyrka","christerhamp_gamla_runor.csv","sv","2"
"÷ k(a)t^rin : vestir:ga^rdum : (l)i[t] : gi[a]^ra : tinna : stai(n) : yvir : sina : modur : but^uiu : si-[t]rihks : ...","Katrin i Västergårda lät göra denna sten över sin moder Botvi, Sigtryggs ...","G 42 - Gotland: Havdhems kyrka","christerhamp_gamla_runor.csv","sv","2"
"...(u)[þ ·] n[aþe] : hena^r : [sial] : (b)[iþ]... ...---ri...-[t]ur... [f]yri : (h)(i)... ...(t)(a)-...","... Gud nåde hennes själ. Be ... för henne ...","G 43 - Gotland: Havdhems kyrka","christerhamp_gamla_runor.csv","sv","2"
"---ai(f)(r) ...- (l)i(t) : gia(r)[a] : sain : eftiR : kun[u : s]in[a : e]stri±i : ok * [m]...","Sigraiv ... lðt g—ra stenen efter sin hustru Estrid och ...","G 46 - Gotland: Eke kyrka","christerhamp_gamla_runor.csv","sv","2"
"[arum ÷ ...bti(r) ÷ ...u... ÷ biyrþ ÷ þusinn ÷ ithuntraþ ÷ at ÷ ok ÷ sekstih ÷ ... ... ÷ kirkia] malaþ ÷ bu ÷ ra [?ur ÷ sif...na ÷ kari ÷ (a)-l(e) ÷ na^uþ] [i(r)a^l ru--r]","Året efter ... födelse 1161 ... kyrkan målad BU RA ...","G 48 - Gotland: Eke kyrka","christerhamp_gamla_runor.csv","sv","2"
"olaus : iacobi : nil : m : d : l- : u :","Olov Jakobsson","G 50 - Gotland: Eke kyrka","christerhamp_gamla_runor.csv","unknown","3"
"maria iuan-","Maria Johan[nes]","G 54 D - Gotland: Rone kyrka","christerhamp_gamla_runor.csv","unknown","3"
"÷ bo--- : oka...-...s(a)rfa : h-- : l-t : (h)-ga : hina : stan : yvir : (b)udaitu : af hah:h-b- k : til : aukarsarfa + ta en : iak : uar · (s)krivaþ : (t)a uar : (h)ahal · sunudah:r · untir-aþr : b-imstafr ++ i tolf:te : r(a)(d)(u) taflu + betar · aukar·sarfa · han skr-if mik · amen ·","Bot- från Oxarve(?) han/hon lät hugga denna sten över Budaid(?) från Hageby och till Oxarve. Då jag blev skriven, då var runan ᚼ söndagsbokstav, ᛦ primstav i tolfte raden på tavlan [1459]. Peter i Oxarve han skrev mig. Amen.","G 55 - Gotland: Hemse kyrka","christerhamp_gamla_runor.csv","sv","2"
"fuþorkhfuþorkh fuþorkhfuþorkhfuþorkhfuþorkhfuþorkh fuþorkhfuþorkhfuþorkhfuþorkhfuþork fuþorkhfuþorkhfuþork fuþorkhfuþorkhfuþorkhfu fuþorkhfuþorkhfuþork","fuþorkh fuþorkh ...","G 56 - Gotland: Hemse kyrka","christerhamp_gamla_runor.csv","unknown","3"
"· hlkaiR · auk · frusti · a-(k) · atli · (þ)... ... · heftiR in...- · iþiuf... ...ku-n ·","Hallgair och Fruste och Atle de ... efter ...","G 59 - Gotland: Hablingbo kyrka","christerhamp_gamla_runor.csv","sv","2"
"... botkair ... kiara ...","... Botgair ... göra ...","G 61 - Gotland: Hablingbo kyrka","christerhamp_gamla_runor.csv","sv","2"
": fa^rgair : lit : mik : [(g)]iea^ra : (y)fer : s[in : fa^þ]ur : u[k] : moþ[o]r [:] b[ot]frir : [ok] : [ruþui : ok : auþuatr] : ok : mik :[+] (k)[rist]r : ma[i]u : sun na^þi : a^lum : sum : hiea^r : huila^s : uair : uk aLum : krisnum : si(a)[l+]um","Fargair lät göra mig över sin fader och moder Botfrid och Rudvi, och Audvatr (el. Audvaldr) [högg]
mig. Krist, Marias son, vare nådig mot alla, som här under vila, och mot alla kristna själar.","G 63 - Gotland: Silte kyrka","christerhamp_gamla_runor.csv","sv","2"
"biþhin fyri botuiþha : sial ranguals arua","Be för Botvids, Ragnvalds arvinges, själ","G 64 - Gotland: Silte kyrka","christerhamp_gamla_runor.csv","unknown","3"
"÷ boluiţr : i : snoţu : (l)i(t) : giara : hualf : yfir : sen faţur : (u)[k] moţur :: naţi : guţ : ţaira : sial : allra : sum : hiar : huilis : under ÷ auţualtr : kauli : giarţi : -ua lis(t)ana","Botvid i Snoder lät göra valvet över sin fader och moder. Nĺde Gud deras själar, alla som här vilar under. Audvald göte (?) gjorde tvĺ likstenar (?)","G 65 - Gotland: Sproge kyrka","christerhamp_gamla_runor.csv","sv","2"
"...uiţr : i : snoţu : lit : giara : stan : hi-- : yfir : sin : barn : -aţi : guţ :+ ţ-ira : sial : aldra : sum : hi-r : huil-- : -ndir + margeta ...r---...-n----u...-- : sir...----...","Botvid i Snoder lät göra dena sten över sitt barn. Nĺde Gud deras själar, alla som här vilar under, Margareta ...","G 66 - Gotland: Sproge kyrka","christerhamp_gamla_runor.csv","sv","2"
"÷ r[u]ţuiţr : a burh : lit : giara : stain : yvir : sen faţur : botulf : a burh naţi : ---(ţ) ţaira : sial : aldra : sum : hiar : huilas : undir : biţin : patenostu : ţair : si+al : sum hi(e)li-","Rodvid i Burg lät göra stenen över sin fader Botulf i Burg. Nĺde Gud deras själar, alla som här vilar under. Be fadervĺr för dera själar, som ...","G 67 - Gotland: Sproge kyrka","christerhamp_gamla_runor.csv","sv","2"
"airikr : lit [giara stan : yfir : sina :] --(t)ur : naþi : guþ : sial : -l-...","Erik lät göra stenen över sin dotter. Nåde Gud själ ...","G 68 - Gotland: Sproge kyrka","christerhamp_gamla_runor.csv","sv","2"
"...(o)(t)a : sun : sum : sins faþu- ...--n : a : ain : þet : uas : er--ak... ... kuþ selu þaiRa hiauna","... son, vars fader ... äger en. Det var ... Gud själ detta par.","G 77 - Gotland: Levide kyrka","christerhamp_gamla_runor.csv","sv","2"
"s(t)ain lit × bot[ul](f) × stafa × [merki × i]... ... [hi-iR] × a(t) × unua(l)(t) × unit ...(l)(i) k(u)m[l · þi]... ... sialu hans","Botulv lät skriva stenen ... har gjort detta minnesmäsre efter Unnvald (?) ... [Gud hjälpe] han själ","G 80 - Gotland: Linde kyrka","christerhamp_gamla_runor.csv","sv","2"
"kuþ : hafi butui(a) : sial","Gud må ha Botnys själ.","G 81 B - Gotland: Linde kyrka","christerhamp_gamla_runor.csv","sv","2"
"... : lit : giera : m...","... lät göra ...","G 82 - Gotland: Lojsta kyrka","christerhamp_gamla_runor.csv","sv","2"
"h-ar : sum : hita : lisa : ta : bar : han : pris . . . h - sum ki . . .","Envar som läser detta, då bär han pris ...","G 83 A - Gotland: Lojsta kyrka","christerhamp_gamla_runor.csv","sv","2"
"ma^ria","Maria","G 84 - Gotland: Lojsta kyrka","christerhamp_gamla_runor.csv","unknown","3"
"...R auk : b(o)... ...","... r och Bo ...","G 86 - Gotland: Stånga kyrka","christerhamp_gamla_runor.csv","sv","2"
"...- stan ' yftir ' sun * sa ' saimaþi ' siour ...","... sten över sin son, han (?) ...","G 92 - Gotland: Bosarve, När","christerhamp_gamla_runor.csv","sv","2"
"huatr : let kear- · futkar bos","Hägvald lät göra ... dopfunt ...","G 97 - Gotland: Etelhems kyrka","christerhamp_gamla_runor.csv","sv","2"
"mk mrla wrta(a)","Merila gjorde mig","G 98 - Gotland: Etelhem","christerhamp_gamla_runor.csv","unknown","3"
"+ iaka^upr · i · litla^ronum · ha^n · lit · gia^ra þinna · stain · yvir · fa^þu^r · sin · o^la^f · o^k · bro^yþr · sina · liknuiþ · o^k · simo^n · biþim · f(i) þaim · o^k · a^llum · krisnum · sia^lum · o^k · þa · ua^r · liþit a^f · guz · by^rþ · fiu^rta^n · hu^nt^ra^þ · a^r o^k · ainu · are · minna · þen · {V}·tihi · a^r · o^k · i · þi · a^ri · brima^þi · k · o^k · r · su^nudahr · i · {(X)I} · ra^þu","Jakob i Lilla Rone han lät göra denna sten över sin fader Olaf och sina bröder Liknvid och Simon. Låt oss be för dem och alla kristna själar. Och då hade förflutit från Guds födelse fjorton hundra år och ett år mindre än 5tio.  Och i det året primade och söndag i 11 raden.","G 99 - Gotland: Lye kyrka","christerhamp_gamla_runor.csv","sv","2"
"+ þinna · sten : þa · lit · husfru · ru^þvi · giera · yfir sin · bo^nda · ia^ko^p · i · ma^na^ga^rd^um · sum · skutin · ua^rþ · ihel · miþ · en : pyrsu·stin · a^f · uis·bo^rh · þa · en · ku^nuu^ng · erik · ua^r · bi·sta^lla^þ · pa · þi · fo^r·nemda · slot · en · þa ·· ua^r · liþit · a^f · guz · by^r(þ) · fiu^rta^n · hu^nd^ra^þ : a^r · o^k · ainu : a^ri · minna · þen : fem(t)igi : a^r · biþium · þet : et · guþ : na^þi · ha^nz · sia^l · o^k · a^llum · krisnum · sia^lum : amen","Denna sten lät husfru Rudvi göra över sin man, Jakob i Mannagården, som blev skjuten ihjäl med en bössosten från Visborg, då konung Erik var belägrad på det nämnda slottet. Och då hade förflutit från Guds födelse fjorton hundra år och ett år mindre än femtio år. Vi ber att Gud nåde hans själ och alla kristna själar. Amen.","G 100 - Gotland: Lye kyrka","christerhamp_gamla_runor.csv","sv","2"
"+ gairual^tr : i : lyum : han : lit gera : hua-- : (h)-ta : yfir : [sin : sun : iakaubr : roþui]la:arfi --sn ... ...nhnuiþr : þair : lut[u : ep]tir : han : gairual^t : i : lyom","Gairvald i Lye han lät göra detta valv över sin son. Jakob i Rotarve ... och Ragnvid de ärvde efter Gairvald i Lye.","G 101 - Gotland: Lye kyrka","christerhamp_gamla_runor.csv","sv","2"
": botolfr : megensa^rfa : li(t) : giara : stain : [hissan : o^k : leggþi : yfir] : petar : fadur : sen^a :","Botulv i Megensarve lät göra denna sten och lade den över Peter, sin fader","G 102 - Gotland: Lye kyrka","christerhamp_gamla_runor.csv","sv","2"
"÷ [iuan] : i mana:gar[þ]um : han : l[it] : ger[a] : hin[na] : s[ta]in : yfir : si[n] : faþ[u- :] (b)[o]tu[lf] : [ok] : hans : [m---] : bo:t...o : ok : r[o]þu[iþ : -- : ---]k : gerin : uel [: ok] : biþin : fyri : þai[ra] : sial : aldra [... i : kuþ:i : ... : u...] mik","Johan i Mannagården han lät göra denna sten över sin fader Botulv och hans släkting Bot ... och Rotvid ... Gör väl och be för deras själar ... Gud ... mig","G 103 - Gotland: Lye kyrka","christerhamp_gamla_runor.csv","sv","2"
"syto hera : gesus : kristus : giak : biþr : þik : firi : þa sy[n-]h : ok : toryyfilsi : þinn suyta : mo^ ^fru ma^ria : mo^uy ¶ -------na-s-þa---t","Söta herre Jesus Kristus, jag ber dig för den synd och bedrövelse, din söta moder fru Maria ...","G 104 AA - Gotland: Lye kyrka","christerhamp_gamla_runor.csv","sv","2"
"(h)elb mari- ----","Hjälpe Maria ...","G 104 AC - Gotland: Lye kyrka","christerhamp_gamla_runor.csv","unknown","3"
"(h)elb m-(r)---","Hjälpe Maria ...","G 104 AE - Gotland: Lye kyrka","christerhamp_gamla_runor.csv","unknown","3"
"m---- : ia^lppi os ...lisai : m^a^rla ma...a... : gyri os","Maria hjälpe oss ...","G 104 BA - Gotland: Lye kyrka","christerhamp_gamla_runor.csv","unknown","3"
"o^la^f o^k ia^ko^b uakada","Olaf och Jakob ...","G 104 BB - Gotland: Lye kyrka","christerhamp_gamla_runor.csv","sv","2"
"miskuni + us guþ k þa^un helg- ' kirk--","Ha misskund med oss, Gud och den heliga kyrkan","G 104 C - Gotland: Lye kyrka","christerhamp_gamla_runor.csv","sv","2"
"mathis iohannes ma-iksen hans mariksen","Mattis Johannes Mariksen Hans Mariksen","G 105 - Gotland: Lye kyrka","christerhamp_gamla_runor.csv","sv","2"
"uir : haffum : rist : ibtir laurfian :","Vi har ristat efter ...","G 107 D - Gotland: Garda kyrka","christerhamp_gamla_runor.csv","sv","2"
"hr hialpi : u(s) : -aun : -(e)lh(a) (k)irki(a) maria","Hjälpe oss den heliga kyrkan","G 108 - Gotland: Alskogs kyrka","christerhamp_gamla_runor.csv","sv","2"
"aft : rualta : faþur : . . .","Efter Roalde fader ...","G 109 - Gotland: Ollaifs, Alskog","christerhamp_gamla_runor.csv","sv","2"
"fuorkhn... ...fuţr-...
... (r)aisti stain in aft iurulf bruţur sin ÷ sikuif(i)r(t)(u)(a)(n)k(i)sifil","... reste stenen efter Hjorulf, sin broder ...","G 110 - Gotland: Tjängvide","christerhamp_gamla_runor.csv","sv","2"
"siba : raisti : stain : eftir : roþiauþ : kunu : sina : totur : roþkais : i : ankum : to : unk fran : ofurmagum","Simpa reste stenen efter Rodiaud, sin hustru, dotter till Rodgair i Anga. Hon dog ung från minderåriga","G 111 - Gotland: Ardre kyrka","christerhamp_gamla_runor.csv","sv","2"
"siba : lit × kearua × stain × hebtiR × totuR × sina auk × roţiauţar","Simpa lät göra stenen efter sin och Rodiauds dotter","G 112 - Gotland: Ardre kyrka","christerhamp_gamla_runor.csv","sv","2"
"÷ utar + ak + kaiRuatr + ak + aiuatr + þaR + setu + stain + ebtir + likna(t) + faþur ÷ sen +","Ottar och Gairvat och Aivat de satte stenen efter Liknat, sin fader.","G 113 - Gotland: Ardre kyrka","christerhamp_gamla_runor.csv","sv","2"
": syniR : likna(t)(a)- ... ...(a)rua : merki : kut : ebtir : ailikni : kunu : koþa : moþur :
...(s) : auk : kaiRuataR : auk : liknuiaR :
: kuþ a-... ... ...(n) : heni : auk : kieruantum : merki : m-... ...ua : aR : men : sin :
...(R) : i : karþum : aR : uaR : ui(u)(e) meR :: (h)...","Liknats söner [lät göra] ett gott minnesmärke efter Ailikn, en god kvinna, moder
[till Aivat och Ottar] och Gairvat och Liknvi. Gud [och Guds moder vare nådig] mot henne och mot dem som göra minnesvården, [den största] som
man kan se ... i Garda, som var hos Viv[?] ...","G 114 - Gotland: Ardre kyrka","christerhamp_gamla_runor.csv","sv","2"
"÷ gesus : krist : na=ţi : ha=luia : sia=l : u=nga=ga=na : husbra=ya : a=ngua:smis : dot=r hu(l)ls : hier : huer : sum : a=sir : biţi : pata=no=st=u : firi : haluia : sia=l : ma=gista=s : (g)efs : gerţi : mik : bot=uiţr : smiţr : lit : gera mik : (a)...-m ÷ (i)...- naţi : us : sihţa=ţ : ha=ns : husbryia : sum : ... bi(ţ)-...","Jesus Kristus var nĺdig mot Hallves själ! Ung-Gannis husfru, Anga-smeds dotter vilar här. Vem som ser, be fadervĺr för Hallves själ. Magister Gefs (?) gjorde mig. Botvid smed lät göra mig ... nĺde oss. Sigtjod, hans hustru, som ... be","G 115 - Gotland: Gammelgarns kyrka","christerhamp_gamla_runor.csv","sv","2"
"... ...ansi : eftir : mutifu : sun sin : asy : sa-...","... efter Mutifu, sin son ...","G 116 - Gotland: Smiss, Kr‰klingbo","christerhamp_gamla_runor.csv","sv","2"
"÷ folkar : i : austerpy ÷: han : lhit : kera mik : yvir : sin : sun : rohlla÷ik : gesus : kristus : naþ(i) : hans : sial : o=k : allum : krisnum * sialum : amen : amen ÷","Folkar i Österby, han lät göra mig över sin son Rodleik. Jesus Kristus nåde hans själ och alla kristna själar. Amen. Amen.","G 118 - Gotland: Anga kyrka","christerhamp_gamla_runor.csv","sv","2"
"--o : ger(þ)(u) ...R kirkiu : þisa : hehmu=ndr : miþ : fiau--m : eykium : ok liknuiþr miþ tuaim eykium : ok hehuiþr miþ ... botuiþr miþ ainum : eyk : ok : ahnmundr  likuiþr miþ : ainum eyk : : ok fargaiR : miþ : tuaim : eykiu:m roeaikr miþ ainum : eyk : ok ioan miþ tuaim : eykium : ok : hahuer miþ : ainum : eyk : ok sihulfr miþ : tuaim : eykium ok roþualr miþ : ainum : eyk : ok ronuiþr miþ tuaim eykium : ok haluatr miþ : ainum eyk ok : alt þit : fulk : sum : hiar : hafr : arfuþi : haft : baþi : nemt : ok : onemt : þa : misku-i : þaim : guþ : baþi : lifanti : ok : dauþum","... de(?) gjorde denna kyrka, Hegmund med fyra oxar och Liknvid med två oxar och Hegvid med ... Botvid med en oxe och Agnmund [och] Liknvid med en oxe och Fargeir med två oxar, Rodleik med en oxe och Johan med två oxar och Hegver med en oxe och Sigulf med två oxar och Rodvald med en oxe och Ronvid med två oxar och Halvat med en oxe. Och allt detta folk som har haft ... här, både nämnda och onämnda, må Gud ha misskund med dem, både levande och döda.","G 119 - Gotland: Anga kyrka","christerhamp_gamla_runor.csv","sv","2"
"þaun : litu : gera : limnink : þisa : fyriR : liknuiþaR : sial ok fyriR : botliknaR sial tygia : syskyna sialiR haluarþr : gerþi : han : iR s=kultr minas : þaiRa","De lät göra denna målning för Liknvids själ och för Botlikns själ, två lyckosamma syskon. Hallvar gjorde. Han är skyldig att minnas dem.","G 120 - Gotland: Anga kyrka","christerhamp_gamla_runor.csv","sv","2"
"÷: hier : huilis : hera : ioan : raþa=rs : sun : af : at=ligabo * bi","Här vilar herr Johan Radar, son av Atlingbo","G 122 - Gotland: Buttle kyrka","christerhamp_gamla_runor.csv","sv","2"
