Sample_ID,Source,Reference,Target_Language,qwen3.5:0.8b_translation,qwen3.5:2b_translation,qwen3.5:4b_translation,qwen3.5:9b_translation
11,biarn · li(t) ... ...- · ul- -(o)(r)oþur · sen ·,"Bjôrn had ... ... Ulfr, his brother.",en,The year was biarn and (later) lītt ... - ul- ... -(o)rō þor ... sen...,born... son,Brian's child... and Ulph... son of...?,"bear, little ... ...- ...- ... - ... old ..."
12,tusti × (r)...(i) ...tin × efti(R) kuno × mak × sin × þ... ...---s × ... × uistar- × uar- ...,"Tosti raised the stone in memory of Gunni, his kinsman-by-marriage ... ... ... was westwards ...",en,Stift x (r)...(i). Tin x efti(R) kuno x mak x sin x þ... ... s x ... x uistār- x uar-,thúste × (r)...(i) ...tin × efti(R) kunó mák síð þ... …–s …… ústar- úar-…,thrust through with a sharp spear against her own mother's womb,your daughter will not again make your sons...
13,· aystin · auk · astriþr · raistu · stina · aftir · kak · sun · sin ·,"Eysteinn and Ástríðr raised the stones in memory of Kagr(?)/Gagr(?), their son.",en,"aust-eyn, eyd; astriþr; ræst-uh; stíne; af-tur; kaks; suu; siu.","Austen, oak, as-tree, to plant, stone, after, rock, sun, sin.",aught and also by side of; beside; by; with; then,"Eysteinn and Ástþrǫrr hasten after him, then towards his sister."
14,[... ...sa · stain · at · suarth... ...],... the stone raised in memory of Svarthôfði ...,en,[... a [san] at [su] arth of [...]],from the south.,... they stand in their midst by Suárfi's side.,the stain on his black coat
15,$M §A [...] §B [raþ runar -pti- (h)armbraþhum] §C · k(s) · statr hoar : kuz nri §D maria iuan-,"$M §A ... §B Interpret the rune according to the grief-rows / in memory of the grieved (one) §C ... ... ... §D Mary, John(?)",en,The sun is a bright light in the sky.,[M] §A [...] §B [raþ runar -pti-] (h)armbraðhum] §C · k(s) · statr hoar: kuz nri §D maria iuán.,"I know a prophecy of terrible harm, and I know that the white one is coming; Maria, the young lady.",[+] of runes [and brotherly harm] the standing hall: who sees it? Mary Jesus.
16,... ...arl ' uk ihulbiurn ' litu rita stono þisa ' uk| |kirua bru þisa ' at iafur faþur si... ... (h)ialbi ont hos,"... Karl and Ígulbjôrn had these stones erected and this bridge made in memory of Jôfurr, their father ... may help his spirit.",en,"In this is there a name: ""Arri"" with the surname Liturrit, of whom you are speaking; for the word in the above words is ""Hauli"" who will come forth to your home.",... ...arl 'uk ihulbiurn' litrrita ston 'pasa' uki kirkja braðin 'at iafarfaðir' si... ... (h)ialbi ont hús,"... Lord Uk's brother-in-law, little son of that stone, my lord. That I have a father who is alive... (h)ilbrother of his.",... our Lord protects and shields the stones of this house and of this church from harm to the father who is... (he) helps us.
17,$M §A spyr actriþi h-... §B --- act -...,$M §A Ask Ástríðr ... §B ... love ...,en,The King's servant was sent out to find the enemy,M A asks the actress - ... B --- acts -..,§A Why ask the actress... §B -- acting -..,Man asks a friend... B --- ... -..
18,[... uaR · tauþr × i austr·uih- ...],... died on the eastern route ...,en,Ithraux to Austruian,a few of you from the west.,"... sea, land in east.",gold · armor · at east · iron -
19,+ ka^ute : tie · kinit^r · suermo: in·mokulata · ga^ute §B k-- ... §C ga^ute : kue : genuisti : eterni · lumi(n)- §D k[l]-... ...,"Rejoice, Mother of God, immaculate Virgin, rejoice §B ... §C Rejoice, Thou who created clarity from eternal light §D ...",en,"Tie, in-omukata, guee. Inni: eirnta; lumii:n §D l~u.",kaːtʲɪʔe: tie·kīnɪr:suermo:i-mɔkʏlatɑː gaːːtʲɪ : kuː:genuisti:teti-rinɨm-§Dk[l]-...,"And thou art tied together, a kin-stranger; with an oath, it was the bond that bound thee; thou gavest: he gave: thou gavest: of those eternal; light. Thou gavest: thou didst give: thou gavest: thou didst give: thou didst give: thou didst give: thou didst give: thou didst give: thou didst give: thou didst give: thou didst give: thou didst give: thou didst give: thou didst give: thou didst give: thou didst give: thou didst give: thou didst give.","you bind the child of your womb and make it subject to me; you will give birth again, O virgin. You shall see eternal light in heaven."
20,... [+ faslaug :] þaun : [hion × litu : i]ftiR · þial[fa : sun s]...,"... (and) Fastlaug, the married couple, had (the stone raised) in memory of Þjalfi, their son.",en,The day is when he and they have all of us.,...[faslaung]: than:[hyon x li: it]ftiR·than[fa:sun]...,"... [fathom]: that [hein x light: in] fall, fath[sun s]...","Then they cast their dice: ""The child of the sun..."""
21,kuþa : risþi : stin : þansi : auft¶(i)R : þurbiurn : buta : sin : ¶ miuk : kuþan : þikn : ian ¶ þurþr : rist : runaR ¶ þasi,"Gyða raised this stone in memory of Þorbjôrn, her husbandman, a very good þegn. And Þórðr carved these runes.",en,Þunga: ùlga: stin: tanú: áttö (ö)Ruður: tburriun: butu: suður: paðmiök: þugan: tínk; íæ þurþr: rist: runaR: þasi,thorn : rise : stone : thons : up : burgh : boat : sins : mark : burn : mark : sign : mark : burn : runa : sign : runa : sign,wolf: fish-rig: stone: that: above: R: teeth: but: son: ¶ muick: wolf: thin: ian ¶ tooth: rig: runeR ¶ that,Cultic: rising: stones: standing: together(R): threshold: gates: its: many: culting: thickening: in(R): through: rise: rune(R): these
22,†M [pær krusis ok sihnum : fgiaþ : ¶ : prokul : omne : malihnum +],†M With this sign of the cross will all evil flee far away.,en,†M [Pær Krusis og Sihnum: Fgaþ: Vag: Prokul: Omen: Malihnum +],"The cross and bones are: fire-greatness, ¶ [pro]: for all that have been born.",For those who are cross and sinful: go away; for it will ruin all of you too.,+†M [the Cross and its signs: forgive: ¶: procul: all: evils]+
23,× þeiR bryþr × reistu × kubl × þia × eftiR × sustur ×× sina × afriþi × auk × eftR × suein × faþur × sin × koþan ×,"These brothers raised these monuments in memory of their sister, Áfriðr, and in memory of Sveinn, their good father.",en,"The people of Reys, the man who built their homes, and the people who have not yet entered the land.","they broke the throne of Kubilaith, afterward they killed her father and his son.","The brothers rose to avenge their sister's murder, even though they were the father's own sons.",Their brothers raised the cup of their sister and her father's poison.
24,kunuar : resþi : stin : þani : eftiR : kana : bunta : sin : þegn harþa kuþan,"Gunnvôr raised this stone in memory of Kani, her husbandman, a very good Þegn.",en,"the king and the kings (or rulers); the king's wife; the prince of the kingdom; their father; the man of the same name; the king, or king's consort; his father; his son and heir; her husband; his wife.",men who: stone: man: after: R: knome: bundle: hand: hard: thorn,knightly : fortress : stone : castle : behind : door : painted : own : shield hard strong,The stones that lie on this side are for our faithful shield-bearer to know.
25,(h)agormr hialgar-r (l)i-unski-l-... §B ... þunt bloþ or rin or æ-r : bloþ or : rin or æ--,"Hagormr(?), ... ... §B ... thin blood, run out, out of ... blood, run out, out of ...",en,"The sun rises in the east, the star of night is born in winter; then the morning comes in. And if one knows that this word means ""sun"" in both senses, then he has found the meaning of a riddle, but not the answer to the question it seeks.","(31) godd of hail and a child of the land, i.e., blood; or rind, or ash, etc.: blood or: rind or: ash.",hagorn r-hialgar-r (l)-unsk-l-... §B ... þunt blþ-or-rin-or-æ-r: blþ-or-: rin-or-æ--,"Hágrmr healed all his wounds, he was not thirsty nor hungry nor cold: he was warm."
26,fuþorkhfuþorkh fuþorkhfuþorkhfuþorkhfuþorkhfuþorkh fuþorkhfuþorkhfuþorkhfuþorkhfuþork fuþorkhfuþorkhfuþork fuþorkhfuþorkhfuþorkhfu fuþorkhfuþorkhfuþork,<fuþork fuþork fuþork fuþork fuþork fuþork>,en,Fútork Fútork Fútork Fútork Fútork Fútork Fútork Fútork Fútork Fútork Fútork Fútork Fuor K Huforth Fúrtho,Fuðarkh,fuþorkhfuþorkh fuþorkhfuþorkhfuþorkhfuþorkhfuþorkh fuþorkhfuþorkhfuþorkhfuþorkhfuþork fuþorkhfuþorkhfuþork fuþorkhfuþorkhfuþorkhfu fuþorkhfuþorkhfuþork,futhark futhark futhark futhark futhark futhark futhark futhark futhark futhark
27,...li : lit : resa : eftiR : f...,... had ... raised in memory of ...,en,In the dark... I say it's true: he came from there... and his son is there again,...lies: life: rise: after:r: ...f ...,the people returned after the flight from their,lit: travel; afterwards: f...
28,× iarlibaki × lit × raisa × stan + þina × a... ... ...kuan + han × ati ain × tabu × alan × -... ... ont hans + §B × iarlabaki × lit raisa × stain × þin- at sik kuikuan × auk × þinkstaþ × þina × karþi + auk × ain ati + alt hu-(t)ari × þita +,"Jarlabanki had this stone raised in memory of himself while alive. He alone owned all of Tábýr. May God help his spirit. §B Jarlabanki had this stone raised in memory of himself while alive, and made this Assembly-place, and alone owned all of this Hundred.",en,"The ""star"" and the ""light"", as well as the rain and snow, from the sky.",x iarlibaki x lit x raisa x stan + þina a... ...kuan + han ati ain tabu alan... -.. ont hans + §B iarlabaki lit raisa stain þin- at sik kuikuan auk þinkstaþ þina karþi + auk ain ati + alt hu-(t)ari þita,"...your brother-in-law's, daughter's son's, and the other, his daughter's brother. . . . Your own father, your own brother? And you shall be given to my own brother by my daughter.","Raise your stone yourself, and let your heart be the only thing that counts."
29,he(l)ga : sati : stin : þana : at : eumunt : bur:uþur,"Helga placed this stone in memory of Eymundr, (her) brother.",en,"(He/l): sat; sit; to go; to be alive (or living); at; to stay; heumung; bur-uþur: bur, and the other words are not specified.",I am: sat: to: thou: hast: eaten: and: been: buried: in: earth,holy: lady: stone: man: at: earth: burial,The holý one sat on the stone at Emunth.
30,--- ¶ akla + kala + laka + ¶ --o-imi(k)(l)(i)(i),"... agla gala laga ('agla' = Thou art strong in eternity, Lord) ...",en,"The transliteration represents a series of four runes: *akla*, which means ""black,"" followed by *kala*, meaning ""red,"" then *laka* (the third character is often spelled *laki* in Old Norse to avoid confusion with Latin 'ka'), representing red, black, and white respectively. The symbol `--o-` indicates a transition or pause, likely between the colors of black and white. The string ending `-(i)i` signifies a single consonant sound that could be an internal vowel, a short 'e' or 'y', or part of another syllable.",akla + kala + laka + o-imu,And we are not afraid (of death).,Bathe and drink to wash away sins.
31,la-rans : gierþi : s[t]ai(n) : (þ)-,Lafranz made this stone.,en,the goblins are a thief's wife...: a little man/young one: (þ)-,lranus: gírþi: stān: (þ-),l-ran: gerðr: [st]-ai(n): (þ)-,ransome was done [he] stood fast
32,...n · auk × kulauh × au... ... + þan + a-...,... and Gullaug and ... that ...,en,...in ... aulh ... al-… þann …,"...aught, from 'aul' and 'kulauh' (which becomes 'au') and 'a'.+ than+ with-a-.",And if in love you are... then to her...,also and with also ... than ... a-...
33,hulm(k)iR · auk · labus · auk · lafsi · þaiR · litu · raisa stain · at aib-rn · faþur sin koþan · ...t...,"Holmgeirr and <labus> and Lafsi, they had the stone raised in memory of Eibjôrn, their good father ...",en,This means: [W] [G] [L] G L T R P L A U R S P A A S H K S D R M A E A B I F P S I N S T T I T S.,"The hill's ear | the hawk | the fish | the hawk | the fisher's wife | the wife of the fisherman | the fisher's woman | and she who sings with the voice that sounds as the sea waves, at the end where the father has a son's beard...","I am your father, the father of his soul and of him...",the mist and fog also the lowland and the heath were seen to raise a stone upon the fathers of their kin ...t...
34,· þura · sati · stin · þasi · aftiR · suin · sun · sin · Rs · uRstr · o · ualu,"Þóra placed this stone in memory of Sveinn, her son, who died in the west in <ualu>.",en,The one who is well-off; The who is at ease.,"Thora sat on stone with a son behind her, she went to him and he took her.",dry · dry's wife · dry · dry · mother-in-law · dry's daughter-in-law · sun · son · father · mother · sun-son · old · old woman,Dora sat in this chair and then the rain fell down.
35,[iufur · uk stoþbiarn · litu ... ... ...kifast · faþur · sin ×],"Jôfurr and Stóðbjôrn had ... in memory of Ingifastr, their father.",en,"A strong and fast one in all of the land, who is not only swift but also has many children; he was a son of Fjaraun.","Iufur, Uk Stoðbja, Litú ...... ... Kífásróður, Fáthúr, Sní","he who is a fire and also his father's son, who has stood in steadfastness with his father until now [iufur · uk stoþbiarn · litu · ... ... ...kifast · faþur · sin]","The whale stands still in the water and ... swims about, its father's cross."
36,[kuþriuin · lat · rita · stin · at inkimuntr faþur · sin],"Guðbjôrn had the stone erected in memory of Ingimundr, his father.",en,The man who reads aloud and speaks the truth.,kuthriun [lat]rita stone at Inkum's father sin,to cut with iron and write by the hand of thy father.,"Cuthwine, I have written to my father's friend on his behalf."
37,...[-n · sin +] sun + hulmfas--/hulmfas--... ... kuþ + hialbi + ant hans +,"... his, Holmfastr's son ... May God help his spirit.",en,"Sun in Hulm-fas, or Hulm Fas; And I have him:",...not Sin with sun and hall-hafts... + hulm-fas-... + kuth + hail-bi + ant hanes-,...-n · sin +] sun + hulmfas--/hulmfas--. .. ... kuþ + hialbi + ant hans +,...and his+ sun+ Huldfas... ...God protect him and his+
38,... ...ta · stiu(b) · (s)in · ha- ...,"... ..., his/her step(-son). He ...",en,... ...a · tīu(b)·(s)ini-hā …,... ... is to stay (or) to be a ...,... ... you know (his/her/their) own home ...,and silent they were
39,... ...-þan × isun × isRn × bRkia nu × kuþ il×... ... §Q ... ...-þan × isun × isRn × bRkia nu × kuþ il×... ...,"... good(?), his(?) son(?). Now(?) (they) pray(?) to God(?) to help(?) ... §Q ... (the) good(?) son of them both. Now God may help(?) ...",en,"Illuminating a journey where darkness gives birth to light. (Note: ""Nu"" in the context of this specific rune glyph sequence often translates as 'shining' or 'bright,' depending on the specific rune arrangement used for its name, but standard Old Norse transliterations sometimes render this segment with 'h' or use a different form based on the specific glyph's name. However, since no explicit name was provided beyond the glyphs themselves and ""Isun"" (to light) is explicitly in the sequence, we must infer from context. The rune names are: ...-þan × isun × isRn × bRkia nu × kuþ il×... ""-Þann"" implies 'lightening' or 'shining,' but more accurately, looking at known Norse transcriptions of this specific glyph set (often found in rune poetry), the word for ""darkness"" is typically ""Þin"" and ""light"" is ""Isun"". In some contexts, ""nu"" might be omitted or rendered differently, but standard translation requires capturing the meaning. The sequence ...-þan× means a lightening up or dawn. ""isun"" means to see/lit. The most faithful reading of the name structure ""...-þan × isun × isRn..."" (where isRn is often associated with 'light' or 'day') implies a journey illuminated by light and day, potentially leading to night but ultimately light. Wait, let's re-evaluate based on the specific glyph names known in this region: ...-þan (the name of the rune is *Þann* or related to lightening), × isun (*to see/light*), × isRn (*day*). ""Nu"" likely refers to a subsequent action or result. The standard translation for runes with names like ""-þan"", ""isun"", and ""isRn"" in Old Norse texts describing journeys often involves themes of dawn, seeing light, and perhaps dark nights. However, without the explicit word for 'night' (Þin), we focus on the explicit names. -þan = lightening/dawn. isun = to see. IsRn = day. The sequence implies a journey or action involving these concepts. Given the phrasing ""...-þan × isun × isRn..."", it reads like: ""Light, seeing, and Day"". But there is another possibility in Norse transliteration where words are omitted or simplified. Let's look at the specific pattern: ...-þan × isun × isRn × bRkia nu × kuþ il×... ""-Þann"" suggests the rune itself was named after this name (e.g., *Þann* = dawn/lightening). ""Isun"" -> see/lit. ""isRn"" -> day. ""bRkia"" -> bright/clear. ""nu"" -> maybe 'up' or continuation. The phrase likely captures a description of an encounter or event involving seeing light and day, potentially illuminated by something that brings it to darkness, then returning to the bright state. However, without external knowledge of this specific glyph set's name in Norse tradition (which could be *Þinn* or similar), relying on standard translation rules:","And is the fire of Rkn, and in it dwelleth now Rke.","...then is this sun, fire and water now, which...§Q...",after the sun and the moon were darkened now the light...
40,... ...isa · sti- ... -t · su... ...,... raised the stone ... in memory of the son ...,en,a single soul,... ...isa · stift · suf...,... ...is a straight line to me... .,wisdom of...
41,[rahnfriþr · lit rt stain þino ' aftiR biurno sun þaiRa kitilmuntaR ' hon ' fil a urlati ' kuþ hialbi hons ant auk| |kuþs muþiR ' osmunr mar'kaþi runaR ritar],"Ragnfríðr had this stone erected in memory of Bjôrn, her son and Ketilmundr's. He fell in Virland. May God and God's mother help his spirit. Ásmundr marked the right runes.",en,"the light of the first night; on the day after [the name], the sun appeared for the time. For it was the king, a man with a crown made of gold, and he spoke to all men from the sky.","Frost-rift's, Light, the stain of the day is gone, and the sun is gone for it; the fire has fallen upon the stone that lies at the foot of its peak.",Ragnfrid the beautiful gave her blessing to the sun of the warrior-kings; may the goddess of death watch over them! Osmond marks the runes.,"Ragnarok, the stain of your brothers after the sons of those who are called Sköll and Hati? That's a false god, the mouth of the wolf. Odin marked runes, the writer of fate."
42,[× sibi × auk × irmuntr × auk × þoriR × litu × raisa × stain × iftiR × s(u)... ... ...-- (h)(a)n · to × austr × sun × kismuntaR],"Sibbi and Ernmundr and Þórir had the stone raised in memory of ... ... ... He, Gísmundr's son, died in the east.",en,The sun is rising from the land of men.,"From SIBI he goes upward toward the sky, from the rising star.",For you and Irntr and Thorir it is fitting to go to the east towards Kisamundr's sunrise.,He and Thorr then raised a stone pillar and went to the east in Kisma.
43,... stin : þinsi : i--iR : un...,... this stone in memory of ...,en,"""Þinsætt: ìr; -u-"" (un...) ""Stina"" is a specific term from Old Norse/Runic inscriptions that means ""stingy"", ""fussy"", or ""wicked"". The transliteration given appears to be an attempt at phonetic representation, possibly from the early period when some names were transliterated using runes or simplified syllables, though modern standard translation refers to this as the root for words like ""stingy"" or variations depending on specific regional variants. However, strictly translating based on common knowledge of its etymology and usage:",stones : stone-nesses : iron : un....,think: thought: I-I-R: run...,stone: shell: I-IR: never...
44,eskil : sulka : sun : let : res(a) ¶ sten : þena : eft : sialfan ¶ sik · e mun · stanta · meþ · sten ¶ lifiR · uitrint · su · iaR · uan · eskil §B kristr · hialbi · siol · hans ¶ aok · santa · migael §C toki · risti · runaR · e(f)(t)(i)(R) (·) -(o)ru · ¶ stiubmoþur · sina · kunu · koþa,"Áskell, Súlki's son, had this stone raised in memory of himself. Ever will stand, while the stone lives, this memento, which Áskell produced. §B May Christ and Saint Michael help his soul. §C Tóki carvedthe runes in memory of Þóra, his stepmother, a good wife.",en,Eskil : suklau sun let : res(a) ¶ sten þena eft ; sialfan ; sik e mun stanta meþ ; lenka ¶ lifiR útrint su iaR uan eskil §B kristr hialbi siol hans ¶ aok santa migael §C tokur ristru runaR ef(kt) ri (·) -(o) ru ; stiubmoþur sine kunu koþa,Esyl : Such : Sun : Let : Rest ¶ Stone : Thee : After : Seal of the Friend : Eye ; May it stand upon stone : Life : Out of wood : Aye : Oak : My Esyl ; Christ : High : Sion : Hand : Also Saint Mary : Magdalene ; Tongue ; Resurrection : Tree ( · ) -(o)ru : ¶ Stibmothur : Sign : Kun : Covenant,Eskil : sulka : sun : let : res(a) ¶ sten : þena : eft : sialfan ¶ sik · e mun · stanta · meþ · sten ¶ lifiR · uitrint · su · iaR · uan · eskil §B kristr · hialbi · siol · hans ¶ aok · santa · migael §C toki · risti · runaR · e(f)(t)(i)(R) (·) -(o)ru · ¶ stiubmoþur · sina · kunu · koþa,"Eskeil: Sulca, sun; let the stone remain by itself! A life wanes like a river. Eskeil §B Christ, save this one and Saint Michael. §C Toke carved these runes after [his] death and taught his kin."
45,†$ [bariRþ ÷ riti stain ÷ þina ÷ aftiR un ÷ ... bruþur sin ÷ han uas| |sun : arinbiarnaR a-þuaun-ua-sun ÷ ial-i (k)u(þ) ant unaR],†$ <bariRþ> erected this stone in memory of Unn his brother. He was Arinbjôrn's son ... May God help Unn's spirit.,en,"In the first light, there was no sun. The darkness has been here forever (or at least for eternity). And now we are alone and the sky is black.",† [bariRth þrit stain þin afti run ... bruður sin hans wæs; sun: arinbiarna un þau on iai i ku athan unar],"I, the brother of my own son: Arinbern's son, son, and I (if) you are an uncle.","""[bariRþ ÷ riti stain ÷ þina ÷ aftiR un ÷ ... bruþur sin ÷ han uas| |sun : arinbiarnaR a-þuaun-ua-sun ÷ ial-i (k)u(þ) ant unaR]"""
46,ragna : let × raisa × stain × þin(a) ... ... × sun × kuþbirnaR × trenk × ufi(l)an,"Ragna had this stone raised ... ... Guðbjôrn's son, an undaunted valiant man.",en,"The sun is burning us, so take your heat away.",raven: let × raise × stain × thine... ... × sun × kill-birns × tree-folk,The rain shall lift thy stain... thou shalt not tread in filth.,of the gods: let your stains rise... sun of wisdom pierce the veil...
47,: hragli : auk : alkisl : satu : stin : þesi : eftR : serla : faþur : sin,"<hragli> and Algísl placed this stone in memory of Særli, their father.",en,hragli (wild beast): auk (great/overbearing): alkisl (unreliable/fallen): satu (one); stin (shiver/sting): þesi (thieves/bansheeps): eftR (to end or stop); serla (water); faþur (beyond/too far from); sin (black/sparkly/blackened).,hagler: auk: alskill: sutr: steinn: tysi: eftir: seilla: fatur: sin,a horned ox : also : elkish : one : stone : this : after : a horse's father : your,The following stones were raised by Hraugli and Alkisl in memory of their father Serla.
48,ikib(i)rn : ak : þiR : bryþr : litu : risa : stin : þina : a(t) : ikhul : faþur : sin : (k)uþ : hilbi : anta : hns bt(r) : þin : (h)-(n) : (h)--... ...- : -(a)(r)- : --...---- : (r)isti : runaR · þasi,"Ingibjôrn and his brothers had this stone raised in memory of Ígull, their father. May God help his spirit better than he has deserved. Tíðkumi carved these runes.",en,"Ikibarnak: þir Ríbiðri, lytu rista, stin þína, aþi ikhul, faþur sin. Kúti hilbi: anta hns bt: þin. (h) n: (h) --... : -(ar): ...-(r)-: runaR: þasi",i-kib(i)-rn: ak: ðið-r:bryþr: litu: risa: stin: þin(a): ikhul: faþur: sin(kú)th: hilbi: anta: hns(b)t(r): þin:(h)-(n): (h)--... ...-: -(a)(r)-: --...----: (r)isti: runaR · þasi,"This is the English translation: ""To you, brother, I have put your father's soul as my shield."" (Specifically, this is the inscription on the Rök Stone).","The runes: These are the brothers' light, stone of your father's hidden strength, and his secret word; these words of power."
49,... ...isti : krus : -... ¶ ...ir : mol:mu... ...,... raised (this?) cross in memory of Maelmuire ...,en,...isti : krus . .. ¶ ir : mul mu . . .,... this is: cup: -.¶...there is a lot:...,... Christ : cross : - ... our : milk : moun ...,... ...ed him : cross : -...¶ ...he : mold:moul... ...
50,÷ salsi karþi sul ÷ D ÷ skut- - þ--a hiu ×,Sôlsi(?) made(?) the sun(?). Dagr(?) cut(?) this(?) on the cliff-face.,en,What does one eat? and what is this man's meal done with?,The salt-carth-sulf which is the fire.,salsi karðisul D skuta þá hiu,And I was silent and shut my mouth against them all.
