Sample_ID,Source,Reference,Target_Language,Prediction
11,[... -k · --n · sun · suta : ---... ¶ ... aft : þurþ : bruþur ...],"... ... ... Sóti's son ... ... in memory of Þórðr, brother ...",en,... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
12,tusti × (r)...(i) ...tin × efti(R) kuno × mak × sin × þ... ...---s × ... × uistar- × uar- ...,"Tosti raised the stone in memory of Gunni, his kinsman-by-marriage ... ... ... was westwards ...",en,Tóstei ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
13,... ...fr ' lit ' reisa ' steina ' efti- seuar ' faþur ' s-n ' goþan ',"... ... had the stones raised in memory of Sævarr, his/her good father.",en,... ... ... ... ... ... ... ... ...
14,...-k lun-a : -... ...(a)lbi · siao- ...,... may help the soul ...,en,"...-k, Lun-... ..."
15,[... iftiR biurn bunta sin kuþan kuþ hialbi ant has],"... in memory of Bjôrn, his/her good husbandman. May God help his spirit.",en,"... in memory of Bjôrn, his brother, and his father, he had."
16,[· rauþr · auk · biarn · litu · raisa · stein · eftR · mak sin · sikat · koþ hialbi ont hns ·],Rauðr and Bjôrn had the stone raised in memory of their kinsman-by-marriage Sighvatr. May God help his spirit.,en,"Rauðr and Bjôrn had this stone raised in memory of their father, God."
17,... ...-rimar : litu : r... ... sin ×,... Grímarr(?) had (the stone) raised/erected ... their ...,en,... raised the stone in memory of ...
18,× iarlibaki × lit × raisa × stan + þina × a... ... ...kuan + han × ati ain × tabu × alan × -... ... ont hans + §B × iarlabaki × lit raisa × stain × þin- at sik kuikuan × auk × þinkstaþ × þina × karþi + auk × ain ati + alt hu-(t)ari × þita +,"Jarlabanki had this stone raised in memory of himself while alive. He alone owned all of Tábýr. May God help his spirit. §B Jarlabanki had this stone raised in memory of himself while alive, and made this Assembly-place, and alone owned all of this Hundred.",en,Yarlbiaki had the stone raised in memory of ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
19,--- ¶ akla + kala + laka + ¶ --o-imi(k)(l)(i)(i),"... agla gala laga ('agla' = Thou art strong in eternity, Lord) ...",en,... ... ... ... ...
20,$M auæ : ma^ria : gra^kia : plena ...,$M Hail Mary full of grace ...,en,"$M Auæ, mother of the great, full of grace ..."
21,× kaR : reþi sin : eti : bui : uiburk uaR : muþR : snuR : fatriþ : ----,Geirr erected the stone in memory of Búi. Vébjôrg was (his) mother. [Was his] daughter-in-law Fastríð(?) ...,en,"Goreðr had the bridge built in memory of Bjôrn, his brother."
22,× [ul]fr [× a... ... -nk]imunt[r × au]k × [ai]... ... ...(n) × i... ...,Ulfr and ... Ingimundr and Ei-... ... the stone(?) in memory of(?) ...,en,Ulfrr ... ... ... ...
23,÷ felleg : er : fuþ : sin : bylli §B ÷ fuþorg lbasm,"Monstrous is the cunt, may the penis serve. §B Cunt-perverse/nymphomania ...",en,"Fellgeir and Fyðr, their father, §B Fyðr's lordman."
24,fuþorkhfuþorkh fuþorkhfuþorkhfuþorkhfuþorkhfuþorkh fuþorkhfuþorkhfuþorkhfuþorkhfuþork fuþorkhfuþorkhfuþork fuþorkhfuþorkhfuþorkhfu fuþorkhfuþorkhfuþork,<fuþork fuþork fuþork fuþork fuþork fuþork>,en,"Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðorkh, Fyðork"
25,asm(u)(t)(r) · auk · þeR · bruþr · restu · sten · þani · eftiR · sarta · faþur · sia ·,"Ásmundr and his brothers raised this stone in memory of Svarti, their father.",en,"Asmundr and Þorbjôrn raised this stone in memory of Sætr, their father."
26,... ...- (:) rista : s(i)tn : þisa : e(f)(t)ir : asu : muþur : sin...,"... ... (had) this stone carved in memory of Ása, his mother.",en,... raised this stone in memory of ...
27,(k)iæte guþ þes er k o^(l)ma^þa,May God protect him whom I enraged.,en,"Gott, he is good."
28,þurfinr : r---- ----- : --n- : --... ... §B ...,Þorfinnr raised(?) the stone(?) in memory of(?) ... §B ...,en,Þorfinr raised ...
29,$M ÷ bo--- : oka...-...s(a)rfa : h-- : l-t : (h)-ga : hina : stan : yvir : (b)udaitu : af hah:h-b- k : til : aukarsarfa + ta en : iak : uar · (s)krivaþ : (t)a uar : (h)ahal · sunudah:r · untir-aþr : b-imstafr ++ i tolf:te : r(a)(d)(u) taflu + betar · aukar·sarfa · han skr-if mik · amen ·,"$M Bót-... Auðgeirsarfr/Ocksarve(?) he/she had this stone cut over Bótheiðr(?) of Hagebýr and (owner of) Auðgeirsarfr/Ocksarve. When I was written, then Hail was the Sunday(-stave); Under-Man the Prime-stave in the twelfth row of the table. Pétar of Auðgeirsarfr/Ocksarve, he wrote me. Amen.",en,"$M Boðr, my father, I have raised this stone in memory of Bóðr, my father's son."
30,[iufur · r... stan · aftir · fuluka · faþur · sin],"Jôfurr raised the stone in memory of Fullugi, his father.",en,... full of the faith of his father.
31,kuþa : risþi : stin : þansi : auft¶(i)R : þurbiurn : buta : sin : ¶ miuk : kuþan : þikn : ian ¶ þurþr : rist : runaR ¶ þasi,"Gyða raised this stone in memory of Þorbjôrn, her husbandman, a very good þegn. And Þórðr carved these runes.",en,"Gjôfni, the stone raised in memory of Þorbjôrn, his brother, and Gjôfni, the man who raised the runaR stone, Þorgi."
32,+ sinkR : let --... ... ... eftiR : friþelfi : kunu : sina : kuþ hialbi : sialu [h]inaR,"Sínkr had ... ... ... in memory of Friðelf, his wife. May God help her soul.",en,"Søndr had ... ... ... his friend Friðelfr, his wife. She was a good woman."
33,eskil : sulka : sun : let : res(a) ¶ sten : þena : eft : sialfan ¶ sik · e mun · stanta · meþ · sten ¶ lifiR · uitrint · su · iaR · uan · eskil §B kristr · hialbi · siol · hans ¶ aok · santa · migael §C toki · risti · runaR · e(f)(t)(i)(R) (·) -(o)ru · ¶ stiubmoþur · sina · kunu · koþa,"Áskell, Súlki's son, had this stone raised in memory of himself. Ever will stand, while the stone lives, this memento, which Áskell produced. §B May Christ and Saint Michael help his soul. §C Tóki carvedthe runes in memory of Þóra, his stepmother, a good wife.",en,"Eskil and Sulei, they had this stone erected in memory of Sialfann, their son. §B Kristi, the great, she is his. §C Tóki, the great, run in memory of Sólmoðr, his son."
34,$M ... ...r øssur : asbiæ?na^r s^on(·),$M ... rests/in memory(?) of Ôssurr Ásbjôrn's son.,en,$M ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
35,... [+ faslaug :] þaun : [hion × litu : i]ftiR · þial[fa : sun s]...,"... (and) Fastlaug, the married couple, had (the stone raised) in memory of Þjalfi, their son.",en,"Faslugaug, this man, his friend."
36,[aimuntr : let ... ... (k)uþ salu · ha...],Eimundr had ... May God help his soul.,en,Aimundr had ... his wife.
37,þuri ÷ auk frystain ' litu raisa stain iftiR ' þurstain broþur sin,"Þórir and Freysteinn had the stone raised in memory of Þorsteinn, their brother.",en,"Þóri and Frystiann, they raised the stone in memory of Þórustiann, their brother."
38,gya : sæhir : at þu : kak hæim §B þa^nsak : a^b(a)kista^n : rþis,Gyða says that you should go home. §B ... ... ...,en,"Gygi, you shall have this stone raised §B Þónsak, he has raised this stone."
39,þurkiR · auk · uri · þaiR · raistu · staina · at · ulaif · faþur · sin : auk : at · suain · bruþur sin ·,"Þorgeirr and Orri, they raised the stones in memory of Óleifr, their father and in memory of Sveinn, their brother.",en,"Þorkeir and Uri, they raised this stone in memory of Ulfa, their father; and in memory of Sveinn, their brother."
40,(h)agormr hialgar-r (l)i-unski-l-... §B ... þunt bloþ or rin or æ-r : bloþ or : rin or æ--,"Hagormr(?), ... ... §B ... thin blood, run out, out of ... blood, run out, out of ...",en,"Hagormr and Hjalgrarr, their son, and their son, ... ... ... ... ..."
41,alfkil ÷ uk ÷ hns ÷ suniR ÷ risþu : stin : þansi : ift : ¶ · mana : sin : frinta : þans × uas · lantirþi ÷ kitils ÷ þis ÷ ¶ nuruna ÷,"Alfkell and his sons raised this stone in memory of Manni, their kinsman, who was Ketill the Norwegian's estate-steward.",en,"Alfkiell and Hnssr, they raised this stone in memory of Franti, their father, and Valdr, their son."
42,× þeiR bryþr × reistu × kubl × þia × eftiR × sustur ×× sina × afriþi × auk × eftR × suein × faþur × sin × koþan ×,"These brothers raised these monuments in memory of their sister, Áfriðr, and in memory of Sveinn, their good father.",en,"Þorðr had the stone cut in memory of Sveinn, his father, and Sveinn's father, who was the good man."
43,× kut × raisti × ifti × skara × sun sin × anun × hiu × siþu,"Gautr raised (the stone) in memory of Skeri/Skari, his son. Ônundr cut the side.",en,"Gottræste, this stone in memory of Annun, his son."
44,(s)(a)- riti sanat kaolu a^mn -... §AQ (s)(a)- rit is anat i saolu a^mn -... §AR (s)(a)- riti| |is a| |an ati saolu a^mn -... §B a(i)kua(i)tu,... by writing heals the crazy woman. Amen ... §AQ ... writing is something different in the soul. Amen ... §AR let ... write who owns and experienced happiness/luck. Amen ...,en,"Sætr and Ríti, and Ámn and Sællu, and Ámn and Ríti, and Ámn and Sællu, and Ámn and Ríti."
45,... ...-þan × isun × isRn × bRkia nu × kuþ il×... ... §Q ... ...-þan × isun × isRn × bRkia nu × kuþ il×... ...,"... good(?), his(?) son(?). Now(?) (they) pray(?) to God(?) to help(?) ... §Q ... (the) good(?) son of them both. Now God may help(?) ...",en,... ... ... ... ... ... ... ... ... ...
46,$M §A spyr actriþi h-... §B --- act -...,$M §A Ask Ástríðr ... §B ... love ...,en,"$M §A Spyr, the ... §B ..."
47,$U §P -uþaþit-ih -ilald (t)-uiuu-(t)w- §Q a^luþa þit (s)i huilalda^| |^aï uiu u(e)a aþa^l,$U §P ... artifact ... §Q Of the ale this will be the resting-people’s (= the deads’): (for?) ever I sanctify abode of the gods.,en,$U §P -vôt-þið-ih -ilald (t)-vinn-... §Q Áv-... ... ... ... ... ...
48,÷ uesti : auk : iuar : auk : s(u)[lfa :] (b)ruþr : þriR : karþu : bru : þasi : (a)uk : satu : stein : þana : eftiR : þialfa : faþur : [sin],"Véseti and Ívarr/Jóarr and Sylfa, the three brothers made this bridge and placed this stone in memory of Þjalfi, their father.",en,"Vesti and Ivar and Sólvi, their brothers, carved this stone in memory of Þialfa, their father."
49,: hragli : auk : alkisl : satu : stin : þesi : eftR : serla : faþur : sin,"<hragli> and Algísl placed this stone in memory of Særli, their father.",en,"Hraugli and Alkisl, they had this stone cut in memory of their father, Sveinn."
50,...- : kuþ-... ...-u · ...,... ... ... ...,en,... ... ...
51,[iufur · uk stoþbiarn · litu ... ... ...kifast · faþur · sin ×],"Jôfurr and Stóðbjôrn had ... in memory of Ingifastr, their father.",en,"Ífjôr, good stone, ... ... ... ... ... ... ... ... ..."
52,: haraltr : kunukR : baþ : kaurua ¶ kubl : þausi : aft : kurm faþur sin ¶ auk aft : þourui : muþur : sina : sa ¶ haraltr (:) ias : soR · uan · tanmaurk §B ala · auk · nuruiak §C (·) auk t(a)ni (k)(a)(r)(þ)(i) kristno,"King Haraldr ordered these monuments made in memory of Gormr, his father, and in memory of Þyrvé, his mother; that Haraldr who won for himself all of Denmark §B and Norway §C and made the Danes Christian.",en,"Haraldr, Gunnr, Guðva, Karl, Þóseir, and Róm, their father. They were after Þóruvi, their mother. §B Ále, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir, Norvæir,"
53,+ esse krusem tomi¶ni : fugite pa^rtes ¶ at^uerse uisit le(o) ¶ te t^ribu iuta -----... ----... ¶ kua(t)^uo^r gra^na in pen¶talum in--... ¶ fo(n)te t^utit : ¶ aaron : iesus + §B -(o)hannes ¶ ma^rkus ¶ maþeus ¶ lukas §C -a^gla al¶pha et ¶ o + - :,"Behold the cross of the Lord; flee, you hostile powers. The lion of the tribe of Juda, the root of David, has conquered. Four letters on the forehead-plate that Aaron bore on his forehead, Jesus. §B John, Mark, Matthew, Luke. §C Agla. Alpha and Omega ...",en,"Ese, Krúseim, gave this to me, and I had it in memory of the great, and he had it in memory of his son, and he had it in memory of his son, and he had it in memory of his son. ... ... ... ... §B ... ... ... §C ... ... ..."
54,[suth]i auk · iki[fastr · litu] rita [stai]n ' iftiR × ikalt ' uk ' (f)[tiR ikhu]ar · fe[þr si]na · kuþa · i,"Sóti and Ingifastr had the stone erected in memory of Ingjaldr and in memory of Ingvarr, their good fathers ...",en,"Sóðr and Iviðr had the stone raised in memory of Ígallr, their father, and their mother."
55,... ...þi : stin : þa...- · -...,... raised this stone ...,en,... raised the stone ...
56,+ ka^ute : tie · kinit^r · suermo: in·mokulata · ga^ute §B k-- ... §C ga^ute : kue : genuisti : eterni · lumi(n)- §D k[l]-... ...,"Rejoice, Mother of God, immaculate Virgin, rejoice §B ... §C Rejoice, Thou who created clarity from eternal light §D ...",en,"Gauti, he was in the midst of the moors. §B ... §C Gauti, he was in the midst of the moors. §D ..."
57,[rahnfriþr · lit rt stain þino ' aftiR biurno sun þaiRa kitilmuntaR ' hon ' fil a urlati ' kuþ hialbi hons ant auk| |kuþs muþiR ' osmunr mar'kaþi runaR ritar],"Ragnfríðr had this stone erected in memory of Bjôrn, her son and Ketilmundr's. He fell in Virland. May God and God's mother help his spirit. Ásmundr marked the right runes.",en,"Ragnfríðr had the stone raised in memory of Bjôrn, his son, and in memory of Kítmundr, his father, and in memory of Guðr, his brother, and in memory of Ósmundr, his mother."
58,... ...isa · sti- ... -t · su... ...,... raised the stone ... in memory of the son ...,en,... he ... ...
59,kunuar : resþi : stin : þani : eftiR : kana : bunta : sin : þegn harþa kuþan,"Gunnvôr raised this stone in memory of Kani, her husbandman, a very good Þegn.",en,"Gunnvarr raised the stone in memory of Gunnbiðn, his brother."
60,...[-n · sin +] sun + hulmfas--/hulmfas--... ... kuþ + hialbi + ant hans +,"... his, Holmfastr's son ... May God help his spirit.",en,"... in the sun, Huldfræðr(?) ... his son."
61,· aystin · auk · astriþr · raistu · stina · aftir · kak · sun · sin ·,"Eysteinn and Ástríðr raised the stones in memory of Kagr(?)/Gagr(?), their son.",en,Ásteinn and Ásteðr had this stone raised in memory of their father.
62,akuti + auk + osur + auk × biaurn × rastu × stain × (þ)[ina × afti](r) × nuka × trihk + kuþan ×,"Ágoti and Ôzurr and Bjôrn raised this stone in memory of Nokki, a good valiant man.",en,Ákvi and Ósvir and Bjôrn raised this stone in memory of their father.
63,ingibiorh · hin fahra · æhkia §B môrhk · kona · hæfer · faret · lu(t) in her mihgil oflate §C ærlikr,"Ingibjôrg, the fair widow. §B Many a wife has travelled stooping in here. A great show-off. §C Erlingr",en,"Ingibóðr had this stone made in memory of Mórhðr, his father, and in memory of his mother. §C Árlíkr"
64,... -it : tafast : rista : runir,... had Tafeistr to carve the runes.,en,... had the stone raised and the runes cut.
65,†$ [bariRþ ÷ riti stain ÷ þina ÷ aftiR un ÷ ... bruþur sin ÷ han uas| |sun : arinbiarnaR a-þuaun-ua-sun ÷ ial-i (k)u(þ) ant unaR],†$ <bariRþ> erected this stone in memory of Unn his brother. He was Arinbjôrn's son ... May God help Unn's spirit.,en,"†$ Barðir Þori's stone in memory of ... his brother, he was the son of Ingibjarnar, his father."
66,... × kumbl × aiftiR ... ...-str auk × s...-ta × ...,... the monument(s) in memory of ... Christ and Saint ...,en,... Kumbl ... ... ... ...
67,ali · auk · karli · risþu · stin · þansi · stin · þansi · iftiR · firist(i)n · faþur · sin · miuk · kuþan þikn,"Áli/Alli and Karli raised this stone [this stone] in memory of Freysteinn, their father, a very good Þegn.",en,"Áli and Karli raised this stone in memory of their father, their midwife. May God help their souls."
68,kuþfastr aok ' þorontr ' litu rita sten ' eftiR ' faþur sin ' hals ' ok frykuþr ' yftiR ' bonta sin ' þorþr : hiak · runar · þisar ' ual,Guðfastr and Þróndr had the stone erected in memory of their father Hals; and Freygunnr in memory of her husbandman. Þórðr cut these runes well.,en,"Guðfastr and Þorðr had the stone erected in memory of their father, their husbandman and their brother. They ran."
69,ikib(i)rn : ak : þiR : bryþr : litu : risa : stin : þina : a(t) : ikhul : faþur : sin : (k)uþ : hilbi : anta : hns bt(r) : þin : (h)-(n) : (h)--... ...- : -(a)(r)- : --...---- : (r)isti : runaR · þasi,"Ingibjôrn and his brothers had this stone raised in memory of Ígull, their father. May God help his spirit better than he has deserved. Tíðkumi carved these runes.",en,"Eikibrunr and Bryðr had the stone raised in memory of Ingihul, their father; and Góðr, his brother. They were the ones who carved the runes."
70,· kalmi : risþi : stin : þena : eftiR : helka : sun : sin : iaR : turknaþi :,"Gamli(?)/Galmi(?) raised this stone in memory of Helgi, his son, who drowned.",en,"Gámli raised this stone in memory of Helgi, her husbandman."
71,· þura · sati · stin · þasi · aftiR · suin · sun · sin · Rs · uRstr · o · ualu,"Þóra placed this stone in memory of Sveinn, her son, who died in the west in <ualu>.",en,"Þórvi, his son, raised the stone in memory of Sveinn, his son, and in memory of Róstr, his son, and in memory of Óvalvi."
72,hulmstain · auk · uikuþr · þaun · litu · raisa · stain · eftiR · sun · henaR · auk · uihialmr iftiR inkifast ·,"Holmsteinn and Végunnr, they had the stone raised in memory of her son, and Véhjalmr/Víghjalmr in memory of Ingifastr.",en,"Hulmsteinn and Víguðr, they raised this stone in memory of their son, Ingífastr, and in memory of their own husbandman."
73,...li : lit : resa : eftiR : f...,... had ... raised in memory of ...,en,... had the stone raised in memory of ...
74,sua ai ÷ titultitul ¶ fuþorkhniastbmlR §B huaR is i : alisti osa : huaR is (:) ¶ uifrþuR : karþi : afr aft asini fauþr ¶ kul:finR : fal(s) : taitirunoR ' u ¶ (a)iuinrunoR : sulialta : huaR : ? ¶ utu ÷ tuuut bilikikR : tuR ra(k)(i) ¶ (t)(u)(l)i,"Thus ever(?) ... <fuþorkhniastbmlR> §B Who is(?) ... ... Æsir's, who is Véfriðr /Véfrøðr made ... in memory of ... father. Kolfinnr/Gullfinnr concealed runes of gladness and runes of eternal friendship ... who ... ... ... ... ... ... Tuli/Tóli.",en,"Sveinn, the Titultull, and Fuðorkhniastbmlr §B and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti, and Hjalsti,"
75,÷ salsi karþi sul ÷ D ÷ skut- - þ--a hiu ×,Sôlsi(?) made(?) the sun(?). Dagr(?) cut(?) this(?) on the cliff-face.,en,"Sælsi, the good man, and Skuddr, the good man."
76,: asmuhtr : auk : fraybiurn · litu kera : meki · siRun · at · herbiurn · faþur : sin :,"Ásmundr and Freybjôrn had the rune-decorated landmark made in memory of Herbjôrn, their father.",en,"Asmundr and Fræybjôrn had this rune carved in memory of Herbjôrn, their father."
77,kuni lit rista runaR þisar eftR sik · kuikhan þurhkutr · risti runa þisar fots arfi,"Gunni had these runes carved in memory of himself while alive. Þorgautr, Fótr's heir, carved these runes.",en,"Gunnell(?) raised these runes in memory of Guikhan, his father. He raised these runes in memory of his father."
78,hulm(k)iR · auk · labus · auk · lafsi · þaiR · litu · raisa stain · at aib-rn · faþur sin koþan · ...t...,"Holmgeirr and <labus> and Lafsi, they had the stone raised in memory of Eibjôrn, their good father ...",en,"Hulm(?) and Labus and Lafsi, they raised this stone in memory of Ábjórn, their father."
79,†M [pær krusis ok sihnum : fgiaþ : ¶ : prokul : omne : malihnum +],†M With this sign of the cross will all evil flee far away.,en,"Dagmar and Sigunn, the good wife, and all the malihnum."
80,la-rans : gierþi : s[t]ai(n) : (þ)-,Lafranz made this stone.,en,"Lágrunn's, Geir's, Steinn's ..."
81,... ...ta · stiu(b) · (s)in · ha- ...,"... ..., his/her step(-son). He ...",en,... in the stone ...
82,[tora · lit · raisa · sti]n [· þina · i]ftiR · rolif · sun · sin · kuþ · hialbi · ant [· hans fotr · risti ·],"Tóra had this stone raised in memory of Hróðleifr, her son. May God help his spirit. Fótr carved.",en,"Tora had raised this stone in memory of Róllif, his son, and in memory of Hans, his brother."
83,ma^ria : mika(l) ¶ a mik br(i)kil ¶ torir §Q ma^ria : mika(i) ¶ a mik brakil ¶ torir,"Mary, Mikjáll owns me, Brigit(?). Þórir. §Q Mary, Mikjáll! Brakil/Brigit owns me. Þórir.",en,"Mæri and Mikael, my brother, they have made me. §Q Mæri and Mikael, my brother, they have made me."
84,... ...isti : krus : -... ¶ ...ir : mol:mu... ...,... raised (this?) cross in memory of Maelmuire ...,en,... raised the stone ... ...
85,ragna : let × raisa × stain × þin(a) ... ... × sun × kuþbirnaR × trenk × ufi(l)an,"Ragna had this stone raised ... ... Guðbjôrn's son, an undaunted valiant man.",en,"Ragnbjôrn and Ræsa, they have raised this stone in memory of Guðbjôrn, their father."
